name,department,studentId,phoneNum
Sophia,Computer Software,2018123456,010-1111-1111
Lily,Computer Software,2019123111,010-2222-2222
Amelia,Advertising,2020450193,010-3333-3333
Liam,Advertising,2020450111,010-4525-4523
Carter,Business Administraion,2021260096,010-5555-5555
Charlotte,Business Administraion,2021260111,010-6666-6666
Gabriel,Computer Software,2018123097,010-7777-7777
James,Architecture,2019098012,010-8888-8888
Mateo,Architecture,2019098045,010-9999-9999
Alexander,Business Administraion,2021260034,010-3456-7890
